start_time,away_team,away_team_score,home_team,home_team_score
2024-11-07 00:00:00+00:00,ORLANDO MAGIC,111,INDIANA PACERS,118
2024-11-07 00:30:00+00:00,NEW YORK KNICKS,116,ATLANTA HAWKS,121
2024-11-07 00:30:00+00:00,GOLDEN STATE WARRIORS,118,BOSTON CELTICS,112
2024-11-07 01:00:00+00:00,SAN ANTONIO SPURS,100,HOUSTON ROCKETS,127
2024-11-07 01:00:00+00:00,LOS ANGELES LAKERS,114,MEMPHIS GRIZZLIES,131
2024-11-07 01:00:00+00:00,CLEVELAND CAVALIERS,131,NEW ORLEANS PELICANS,122
2024-11-07 01:30:00+00:00,CHICAGO BULLS,99,DALLAS MAVERICKS,119
2024-11-07 02:00:00+00:00,OKLAHOMA CITY THUNDER,122,DENVER NUGGETS,124
2024-11-07 02:00:00+00:00,MIAMI HEAT,112,PHOENIX SUNS,115
2024-11-07 03:00:00+00:00,PHILADELPHIA 76ERS,98,LOS ANGELES CLIPPERS,110
2024-11-07 03:00:00+00:00,TORONTO RAPTORS,107,SACRAMENTO KINGS,122
2024-11-08 01:00:00+00:00,MINNESOTA TIMBERWOLVES,135,CHICAGO BULLS,119
2024-11-08 01:00:00+00:00,UTAH JAZZ,100,MILWAUKEE BUCKS,123
2024-11-08 01:00:00+00:00,PORTLAND TRAIL BLAZERS,105,SAN ANTONIO SPURS,118
2024-11-09 00:00:00+00:00,INDIANA PACERS,83,CHARLOTTE HORNETS,103
2024-11-09 00:00:00+00:00,ATLANTA HAWKS,121,DETROIT PISTONS,122
2024-11-09 00:00:00+00:00,NEW ORLEANS PELICANS,88,ORLANDO MAGIC,115
2024-11-09 00:30:00+00:00,BROOKLYN NETS,104,BOSTON CELTICS,108
2024-11-09 00:30:00+00:00,GOLDEN STATE WARRIORS,117,CLEVELAND CAVALIERS,136
2024-11-09 00:30:00+00:00,PHOENIX SUNS,114,DALLAS MAVERICKS,113
2024-11-09 00:30:00+00:00,MILWAUKEE BUCKS,94,NEW YORK KNICKS,116
2024-11-09 01:00:00+00:00,WASHINGTON WIZARDS,104,MEMPHIS GRIZZLIES,128
2024-11-09 01:00:00+00:00,HOUSTON ROCKETS,107,OKLAHOMA CITY THUNDER,126
2024-11-09 02:00:00+00:00,MIAMI HEAT,122,DENVER NUGGETS,135
2024-11-09 02:00:00+00:00,PORTLAND TRAIL BLAZERS,102,MINNESOTA TIMBERWOLVES,127
2024-11-09 03:00:00+00:00,PHILADELPHIA 76ERS,106,LOS ANGELES LAKERS,116
2024-11-09 03:00:00+00:00,LOS ANGELES CLIPPERS,107,SACRAMENTO KINGS,98
2024-11-09 22:00:00+00:00,UTAH JAZZ,111,SAN ANTONIO SPURS,110
2024-11-10 00:30:00+00:00,CHICAGO BULLS,125,ATLANTA HAWKS,113
2024-11-10 00:30:00+00:00,BROOKLYN NETS,100,CLEVELAND CAVALIERS,105
2024-11-10 03:30:00+00:00,TORONTO RAPTORS,103,LOS ANGELES CLIPPERS,105
2024-11-10 20:00:00+00:00,HOUSTON ROCKETS,101,DETROIT PISTONS,99
2024-11-10 20:30:00+00:00,BOSTON CELTICS,113,MILWAUKEE BUCKS,107
2024-11-10 22:00:00+00:00,NEW YORK KNICKS,121,INDIANA PACERS,132
2024-11-10 23:00:00+00:00,WASHINGTON WIZARDS,94,ORLANDO MAGIC,121
2024-11-11 00:00:00+00:00,MIAMI HEAT,95,MINNESOTA TIMBERWOLVES,94
2024-11-11 00:00:00+00:00,GOLDEN STATE WARRIORS,127,OKLAHOMA CITY THUNDER,116
2024-11-11 00:00:00+00:00,CHARLOTTE HORNETS,105,PHILADELPHIA 76ERS,107
2024-11-11 01:00:00+00:00,DALLAS MAVERICKS,120,DENVER NUGGETS,122
2024-11-11 01:00:00+00:00,SACRAMENTO KINGS,127,PHOENIX SUNS,118
2024-11-11 02:00:00+00:00,MEMPHIS GRIZZLIES,134,PORTLAND TRAIL BLAZERS,89
2024-11-11 02:30:00+00:00,TORONTO RAPTORS,103,LOS ANGELES LAKERS,123
2024-11-12 01:00:00+00:00,CLEVELAND CAVALIERS,119,CHICAGO BULLS,113
2024-11-12 01:00:00+00:00,WASHINGTON WIZARDS,92,HOUSTON ROCKETS,107
2024-11-12 01:00:00+00:00,BROOKLYN NETS,107,NEW ORLEANS PELICANS,105
2024-11-12 01:00:00+00:00,LOS ANGELES CLIPPERS,128,OKLAHOMA CITY THUNDER,134
2024-11-12 01:00:00+00:00,SACRAMENTO KINGS,96,SAN ANTONIO SPURS,116
2024-11-13 00:00:00+00:00,ATLANTA HAWKS,117,BOSTON CELTICS,116
2024-11-13 00:00:00+00:00,MIAMI HEAT,121,DETROIT PISTONS,123
2024-11-13 00:00:00+00:00,CHARLOTTE HORNETS,89,ORLANDO MAGIC,114
2024-11-13 00:30:00+00:00,NEW YORK KNICKS,111,PHILADELPHIA 76ERS,99
2024-11-13 01:00:00+00:00,TORONTO RAPTORS,85,MILWAUKEE BUCKS,99
2024-11-13 02:00:00+00:00,PHOENIX SUNS,120,UTAH JAZZ,112
2024-11-13 03:00:00+00:00,DALLAS MAVERICKS,117,GOLDEN STATE WARRIORS,120
2024-11-13 03:00:00+00:00,MINNESOTA TIMBERWOLVES,108,PORTLAND TRAIL BLAZERS,122
2024-11-14 00:00:00+00:00,INDIANA PACERS,90,ORLANDO MAGIC,94
2024-11-14 00:30:00+00:00,BOSTON CELTICS,139,BROOKLYN NETS,114
2024-11-14 00:30:00+00:00,CHICAGO BULLS,124,NEW YORK KNICKS,123
2024-11-14 00:30:00+00:00,NEW ORLEANS PELICANS,88,OKLAHOMA CITY THUNDER,106
2024-11-14 00:30:00+00:00,CLEVELAND CAVALIERS,114,PHILADELPHIA 76ERS,106
2024-11-14 01:00:00+00:00,LOS ANGELES CLIPPERS,103,HOUSTON ROCKETS,111
2024-11-14 01:00:00+00:00,DETROIT PISTONS,120,MILWAUKEE BUCKS,127
2024-11-14 01:00:00+00:00,WASHINGTON WIZARDS,130,SAN ANTONIO SPURS,139
2024-11-14 03:00:00+00:00,MEMPHIS GRIZZLIES,123,LOS ANGELES LAKERS,128
2024-11-14 03:00:00+00:00,MINNESOTA TIMBERWOLVES,98,PORTLAND TRAIL BLAZERS,106
2024-11-14 03:00:00+00:00,PHOENIX SUNS,104,SACRAMENTO KINGS,127
2024-11-15 02:00:00+00:00,DALLAS MAVERICKS,113,UTAH JAZZ,115
2024-11-16 00:00:00+00:00,MIAMI HEAT,124,INDIANA PACERS,111
2024-11-16 00:00:00+00:00,PHILADELPHIA 76ERS,86,ORLANDO MAGIC,98
2024-11-16 00:00:00+00:00,DETROIT PISTONS,99,TORONTO RAPTORS,95
2024-11-16 00:30:00+00:00,WASHINGTON WIZARDS,117,ATLANTA HAWKS,129
2024-11-16 00:30:00+00:00,CHICAGO BULLS,126,CLEVELAND CAVALIERS,144
2024-11-16 00:30:00+00:00,BROOKLYN NETS,122,NEW YORK KNICKS,124
2024-11-16 00:30:00+00:00,LOS ANGELES LAKERS,120,SAN ANTONIO SPURS,115
2024-11-16 01:00:00+00:00,LOS ANGELES CLIPPERS,104,HOUSTON ROCKETS,125
2024-11-16 01:00:00+00:00,DENVER NUGGETS,94,NEW ORLEANS PELICANS,101
2024-11-16 01:00:00+00:00,PHOENIX SUNS,83,OKLAHOMA CITY THUNDER,99
2024-11-16 03:00:00+00:00,MEMPHIS GRIZZLIES,118,GOLDEN STATE WARRIORS,123
2024-11-16 03:00:00+00:00,MINNESOTA TIMBERWOLVES,130,SACRAMENTO KINGS,126
2024-11-16 20:00:00+00:00,MILWAUKEE BUCKS,114,CHARLOTTE HORNETS,115
2024-11-17 01:00:00+00:00,TORONTO RAPTORS,123,BOSTON CELTICS,126
2024-11-17 01:00:00+00:00,LOS ANGELES LAKERS,104,NEW ORLEANS PELICANS,99
2024-11-17 01:30:00+00:00,SAN ANTONIO SPURS,93,DALLAS MAVERICKS,110
2024-11-17 03:00:00+00:00,UTAH JAZZ,117,SACRAMENTO KINGS,121
2024-11-17 20:30:00+00:00,PHOENIX SUNS,117,MINNESOTA TIMBERWOLVES,120
2024-11-17 22:00:00+00:00,MIAMI HEAT,110,INDIANA PACERS,119
2024-11-17 23:00:00+00:00,CHARLOTTE HORNETS,114,CLEVELAND CAVALIERS,128
2024-11-17 23:00:00+00:00,DENVER NUGGETS,90,MEMPHIS GRIZZLIES,105
2024-11-17 23:00:00+00:00,ATLANTA HAWKS,110,PORTLAND TRAIL BLAZERS,114
2024-11-17 23:00:00+00:00,DETROIT PISTONS,124,WASHINGTON WIZARDS,104
2024-11-18 00:00:00+00:00,HOUSTON ROCKETS,143,CHICAGO BULLS,107
